run_id,account,workload,region,run_date,rows_processed_gb,duration_minutes,shuffle_spill_gb,error_count,retry_count,sla_minutes,cost_usd
r-1001,Nova Retail,inventory-refresh,us-east,2025-01-02,184.2,31.4,8.2,0,1,45,92.14
r-1002,Nova Retail,orders-daily,us-east,2025-01-02,226.8,54.2,19.4,2,3,50,141.38
r-1003,Atlas Health,claims-ingest,us-central,2025-01-02,148.5,37.8,11.1,0,1,42,88.25
r-1004,Atlas Health,quality-signals,us-central,2025-01-02,99.7,28.6,5.4,0,0,35,54.92
r-1005,Meridian Energy,meter-forecast,us-west,2025-01-02,301.6,69.3,31.2,3,5,60,201.77
r-1006,Helios Logistics,route-optimizer,us-east,2025-01-02,175.1,46.1,13.8,1,2,48,113.51
r-1007,Nova Retail,inventory-refresh,us-east,2025-01-03,188.7,33.2,9.0,0,1,45,96.01
r-1008,Nova Retail,orders-daily,us-east,2025-01-03,235.5,58.9,22.6,2,4,50,153.64
r-1009,Atlas Health,claims-ingest,us-central,2025-01-03,152.4,39.5,12.7,1,2,42,91.44
r-1010,Atlas Health,quality-signals,us-central,2025-01-03,103.8,27.2,4.8,0,0,35,53.17
r-1011,Meridian Energy,meter-forecast,us-west,2025-01-03,318.9,74.6,37.9,4,6,60,223.19
r-1012,Helios Logistics,route-optimizer,us-east,2025-01-03,181.6,48.5,15.2,1,2,48,119.66
r-1013,Nova Retail,inventory-refresh,us-east,2025-01-04,191.2,34.8,9.8,0,1,45,98.43
r-1014,Nova Retail,orders-daily,us-east,2025-01-04,244.1,62.7,26.1,3,4,50,166.52
r-1015,Atlas Health,claims-ingest,us-central,2025-01-04,158.9,41.9,14.8,1,2,42,97.08
r-1016,Atlas Health,quality-signals,us-central,2025-01-04,107.4,29.1,5.6,0,0,35,56.35
r-1017,Meridian Energy,meter-forecast,us-west,2025-01-04,329.5,79.8,43.5,5,7,60,241.86
r-1018,Helios Logistics,route-optimizer,us-east,2025-01-04,189.8,52.4,18.7,2,3,48,132.72
r-1019,Nova Retail,inventory-refresh,us-east,2025-01-05,187.9,32.7,8.7,0,1,45,95.18
r-1020,Nova Retail,orders-daily,us-east,2025-01-05,249.6,64.4,28.3,3,5,50,174.81
r-1021,Atlas Health,claims-ingest,us-central,2025-01-05,164.3,43.2,16.1,1,2,42,102.33
r-1022,Atlas Health,quality-signals,us-central,2025-01-05,111.2,31.6,6.4,0,1,35,61.05
r-1023,Meridian Energy,meter-forecast,us-west,2025-01-05,337.8,83.1,48.6,6,8,60,260.48
r-1024,Helios Logistics,route-optimizer,us-east,2025-01-05,194.4,55.9,21.4,2,3,48,142.27
